url,titre,entreprise,date_publication,region,ville,contrat,experience,niveau_etude,competences_cles,skills_list,experience_cat,annee,mois
https://www.emploi.ma/offre-emploi-maroc/assistante-administrative-secteur-medical-casablanca-9250528,Assistante Administrative - Secteur médical - Casablanca,TECTRA,2026-03-03,Casablanca-Mohammedia,Casablanca,CDI,Non spécifié,Bac+2 - Bac+3,Assistanat - Secrétariat - Gestion Administrative - Reporting - Gestion des Appels - Dossiers,"['Assistanat', 'Secrétariat', 'Gestion Administrative', 'Reporting', 'Gestion des Appels', 'Dossiers']",Non spécifié,2026,3
https://www.emploi.ma/offre-emploi-maroc/technicien-process-production-meknes-9219509,Technicien Process de Production - Meknès,SOMACOS,2026-02-06,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International,Meknès,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,Ingénierie de Process - Gestion de la Production Assistée par Ordinateur - Fabrication - Gestion de la Production - Injection - Production - Machines - Ingénierie de Process - Qualité - Méthodes Industrielles - Amélioration Continue - Industrialisation - Process de Production - Maintenance - Procédés - Plasturgie - Extrusion - Process - Génie Industriel,"['Ingénierie de Process', 'Gestion de la Production Assistée par Ordinateur', 'Fabrication', 'Gestion de la Production', 'Injection', 'Production', 'Machines', 'Ingénierie de Process', 'Qualité', 'Méthodes Industrielles', 'Amélioration Continue', 'Industrialisation', 'Process de Production', 'Maintenance', 'Procédés', 'Plasturgie', 'Extrusion', 'Process', 'Génie Industriel']",Junior (2-5 ans),2026,2
https://www.emploi.ma/offre-emploi-maroc/technico-commercial-bouskoura-9249462,Technico Commercial - Bouskoura,A2CIM,2026-03-18,Casablanca-Mohammedia,Bouskoura,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+2 - Bac+3 - Bac+4 - Bac+5 et plus,Commercialisation - E-Commerce - Vente - Prospection,"['Commercialisation', 'E', 'Commerce', 'Vente', 'Prospection']",Junior (2-5 ans),2026,3
https://www.emploi.ma/offre-emploi-maroc/responsable-distribution-casablanca-9226866,Responsable de Distribution - Casablanca,IZIRY,2026-02-16,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International,Casablanca,CDI,Débutant < 2 ans - Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+2 - Bac+3 - Bac+4 - Bac+5 et plus,Non spécifié,['Non spécifié'],Débutant,2026,2
https://www.emploi.ma/offre-emploi-maroc/controleuse-gestion-meknes-9223106,Contrôleuse de Gestion - Meknès,SOMACOS,2026-03-12,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International,Meknès,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,controle de gestion - Productivité - Maintenance - Production - Gestion Industrielle - Processus - Qualité,"['controle de gestion', 'Productivité', 'Maintenance', 'Production', 'Gestion Industrielle', 'Processus', 'Qualité']",Junior (2-5 ans),2026,3
https://www.emploi.ma/offre-emploi-maroc/aide-comptable-cabinet-avocat-rabat-9252605,Aide Comptable – Cabinet D’Avocat - Rabat,JOB CONNECT,2026-03-16,Rabat-Salé-Kénitra,Rabat,CDI,Débutant < 2 ans - Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+2 - Bac+3 - Bac+4 - Bac+5 et plus,Banque - Gestion - Finance - Comptabilité,"['Banque', 'Gestion', 'Finance', 'Comptabilité']",Débutant,2026,3
https://www.emploi.ma/offre-emploi-maroc/comptable-cycle-vente-clients-casablanca-9246381,Comptable Cycle Vente Clients - Casablanca,Non spécifié,2026-02-25,Casablanca-Mohammedia,Casablanca,CDI,Expérience entre 2 ans et 5 ans,Bac+2 - Bac+3 - Bac+4 - Bac+5 et plus,Gestion - Finance - Investissement - Comptabilité - Leasing - Comptabilité Fournisseurs,"['Gestion', 'Finance', 'Investissement', 'Comptabilité', 'Leasing', 'Comptabilité Fournisseurs']",Junior (2-5 ans),2026,2
https://www.emploi.ma/offre-emploi-maroc/agent-maintenance-mohammedia-8994012,Agent de Maintenance - Mohammedia,BRIQUETERIE JBEL ANNOUR,2026-03-06,Casablanca-Mohammedia,Mohammedia,CDI,Débutant < 2 ans - Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Qualification avant bac - Bac - Bac+1 - Bac+2,Qualité - Maintenance Industrielle - Maintenance Préventive - Machines - Maintenance - Production,"['Qualité', 'Maintenance Industrielle', 'Maintenance Préventive', 'Machines', 'Maintenance', 'Production']",Débutant,2026,3
https://www.emploi.ma/offre-emploi-maroc/conseillere-pedagogique-sale-9260213,Conseiller(e) Pédagogique - Salé,CALLIOPE,2026-03-10,Rabat-Salé-Kénitra,Salé,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,Non spécifié,['Non spécifié'],Junior (2-5 ans),2026,3
https://www.emploi.ma/offre-emploi-maroc/technicien-marrakech-9167917,Technicien - Marrakech,SOMFY MAROC,2026-03-17,Marrakech-Safi,Marrakech,CDI,Débutant < 2 ans - Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+2,Formation - Entretien - Maintenance - Support - SAV - Réparation,"['Formation', 'Entretien', 'Maintenance', 'Support', 'SAV', 'Réparation']",Débutant,2026,3
